dataset,seed,scheme,goal,n_min,n_sent,tp,fn,accept_rate,U_asymmetric,U_symmetric
BACE,0,marginal,find_class1,163,52,95,16,0.6809815950920246,-1049.079754601227,-67.48466257668716
BACE,0,mondrian,find_class1,163,56,91,16,0.656441717791411,-1085.8895705521472,-104.2944785276074
BACE,1,marginal,find_class1,164,53,103,8,0.6768292682926829,-265.2439024390245,222.56097560975607
BACE,1,mondrian,find_class1,164,59,97,8,0.6402439024390244,-320.1219512195122,167.68292682926835
BACE,2,marginal,find_class1,170,72,90,8,0.5764705882352941,-388.2352941176471,82.35294117647064
BACE,2,mondrian,find_class1,170,65,100,5,0.6176470588235294,-44.117647058823536,250.0
BACE,3,marginal,find_class1,185,57,108,20,0.6918918918918919,-1191.8918918918916,-110.81081081081084
BACE,3,mondrian,find_class1,185,63,110,12,0.6594594594594594,-548.6486486486488,99.99999999999994
BACE,4,marginal,find_class1,164,38,113,13,0.7682926829268293,-615.8536585365854,176.8292682926829
BACE,4,mondrian,find_class1,164,54,98,12,0.6707317073170731,-664.6341463414633,67.07317073170736
BACE,5,marginal,find_class1,176,49,113,14,0.7215909090909092,-690.3409090909092,105.11363636363632
BACE,5,mondrian,find_class1,176,53,102,21,0.6988636363636364,-1360.7954545454545,-167.61363636363632
BBBP,0,marginal,symmetric,124,17,61,46,0.8629032258064516,-1431.4516129032256,-1431.4516129032256
BBBP,0,mondrian,symmetric,124,14,93,17,0.8870967741935484,8.064516129032242,8.064516129032242
BBBP,1,marginal,symmetric,118,5,64,49,0.9576271186440678,-1555.0847457627121,-1555.0847457627121
BBBP,1,mondrian,symmetric,118,12,88,18,0.8983050847457628,-67.79661016949152,-67.79661016949152
BBBP,2,marginal,symmetric,121,19,62,40,0.8429752066115702,-1219.0082644628098,-1219.0082644628098
BBBP,2,mondrian,symmetric,121,16,93,12,0.8677685950413223,206.6115702479338,206.6115702479338
BBBP,3,marginal,symmetric,108,0,56,52,1.0,-1888.8888888888894,-1888.8888888888894
BBBP,3,mondrian,symmetric,108,21,78,9,0.8055555555555556,208.33333333333331,208.33333333333331
BBBP,4,marginal,symmetric,108,14,57,37,0.8703703703703703,-1250.0,-1250.0
BBBP,4,mondrian,symmetric,108,8,87,13,0.9259259259259259,166.66666666666654,166.66666666666654
BBBP,5,marginal,symmetric,125,0,61,64,1.0,-2072.0,-2072.0
BBBP,5,mondrian,symmetric,125,16,92,17,0.872,-8.0,-8.0
Tox21_SRARE,0,marginal,avoid_class1,252,66,18,168,0.7380952380952381,-10059.523809523813,-3392.857142857143
Tox21_SRARE,0,mondrian,avoid_class1,252,125,109,18,0.503968253968254,-886.904761904762,-172.61904761904765
Tox21_SRARE,1,marginal,avoid_class1,236,72,11,153,0.6949152542372881,-9830.508474576272,-3347.457627118644
Tox21_SRARE,1,mondrian,avoid_class1,236,118,95,23,0.5,-1309.322033898305,-334.74576271186436
Tox21_SRARE,2,marginal,avoid_class1,233,85,6,142,0.6351931330472103,-9298.283261802573,-3203.8626609442053
Tox21_SRARE,2,mondrian,avoid_class1,233,106,103,24,0.5450643776824035,-1330.4721030042917,-300.4291845493562
Tox21_SRARE,3,marginal,avoid_class1,249,93,13,143,0.6265060240963856,-8748.995983935743,-3006.024096385542
Tox21_SRARE,3,mondrian,avoid_class1,249,114,114,21,0.5421686746987953,-1036.1445783132533,-192.77108433734946
ClinTox,0,marginal,avoid_class1,26,0,0,20,1.0,-11538.461538461537,-3846.1538461538457
ClinTox,0,mondrian,avoid_class1,26,18,7,1,0.3076923076923077,-653.8461538461538,-269.23076923076917
ClinTox,1,marginal,avoid_class1,24,0,0,23,1.0,-14374.999999999998,-4791.666666666666
ClinTox,1,mondrian,avoid_class1,24,20,4,0,0.16666666666666663,-249.99999999999997,-249.99999999999997
ClinTox,2,marginal,avoid_class1,19,0,0,16,1.0,-12631.57894736842,-4210.526315789473
ClinTox,2,mondrian,avoid_class1,19,11,8,0,0.42105263157894735,131.57894736842104,131.57894736842104
ClinTox,3,marginal,avoid_class1,18,0,0,14,1.0,-11666.666666666668,-3888.888888888889
ClinTox,3,mondrian,avoid_class1,18,10,7,1,0.4444444444444444,-722.2222222222222,-166.66666666666663
ClinTox,4,marginal,avoid_class1,14,0,1,8,1.0,-8500.000000000002,-2785.714285714286
ClinTox,4,mondrian,avoid_class1,14,5,9,0,0.6428571428571428,464.28571428571433,464.28571428571433
ClinTox,5,marginal,avoid_class1,23,0,0,20,1.0,-13043.478260869566,-4347.826086956522
ClinTox,5,mondrian,avoid_class1,23,16,7,0,0.30434782608695654,-43.47826086956525,-43.47826086956525
